Title,Published_date,Views,Likes,Comments,Month
Reality of Morbi Bridge Incident | Who's Responsible? | Dhruv Rathee,2022-11-15,3447071,223410,12163,Nov
What if Whole World runs on 100% Solar Energy? | Dhruv Rathee,2022-11-12,7804908,225521,6061,Nov
How Elon Musk CAPTURED Twitter! | The Forced $44 Billion Deal | Dhruv Rathee,2022-11-08,5742748,215519,8042,Nov
How British Destroyed Maratha Empire? | Anglo Maratha Wars | Dhruv Rathee,2022-11-05,8332379,235182,15207,Nov
ISRO vs NASA | The History and Future of Space Race | Dhruv Rathee,2022-11-01,7407617,255660,8599,Nov
How Rishi Sunak defeated Boris Johnson and Liz Truss | UK Political Crisis | Dhruv Rathee,2022-10-27,7426507,284061,9694,Oct
Mystery of Solar Eclipse | Eating Food during Surya Grahan 2023 | Dhruv Rathee,2022-10-24,8426561,402954,19986,Oct
The Hidden Truth of Ramayana | Was Ravan Good? | Dhruv Rathee,2022-10-20,13196648,575354,46538,Oct
Black Holes Explained | They are not what you think they are! | Dhruv Rathee,2022-10-16,13640530,483255,15893,Oct
BEWARE: Chinese Loan Apps and Youtube Comment Scams | Dhruv Rathee,2022-10-11,2886672,154029,7964,Oct
The Apollo 11 Moon Landing Mystery | Neil Armstrong | Dhruv Rathee,2022-10-08,32362203,670477,22964,Oct
"The Science of Ghosts | Paranormal, Bhoots and Ouija Boards Exposed | Dhruv Rathee",2022-09-27,23534067,835420,44121,Sep
How Russia is Losing to Ukraine | 7 Months Later | Dhruv Rathee ft. @mohak_mangal,2022-09-26,4244474,180300,8121,Sep
Anti Hijab Protests in Iran | Explained by Dhruv Rathee,2022-09-25,4618001,236164,26354,Sep
How Amul Saved India | The Untold Story of White Revolution | Dhruv Rathee,2022-09-22,8917008,293993,7529,Sep
How China Invaded Tibet | Escape of Dalai Lama | Dhruv Rathee,2022-09-17,9928793,271957,13575,Sep
The Truth about Freebie Politics | Right or Wrong? | Dhruv Rathee,2022-09-13,5341730,258199,17547,Sep
How did British Empire take over India? | Fall of Mughal Empire | Dhruv Rathee,2022-09-10,16015395,419981,19023,Sep
Mystery of Indus Valley Civilization | The Unknown Language | Dhruv Rathee,2022-09-05,14135581,458500,17893,Sep
Hiroshima and Nagasaki | Why USA destroyed Japan? | WW2 | Dhruv Rathee,2022-09-01,18146774,632216,19879,Sep
How Adani Trapped NDTV | The Hidden Agenda | Ravish Kumar | Dhruv Rathee,2022-08-25,7994638,387563,27369,Aug
Mystery of Red Plague | Invention of World’s First Vaccine | Dhruv Rathee,2022-08-23,7863745,287132,8502,Aug
Why People become Criminals? | The Problem of Liberty | Dhruv Rathee,2022-08-21,3378219,196099,11261,Aug
Dark Reality of Cold Drinks | Dhruv Rathee,2022-08-17,15393173,641167,36881,Aug
Laal Singh Chaddha Boycott | Is Aamir Khan Anti-Hindu? | PK | Dhruv Rathee,2022-08-14,8921995,616234,83952,Aug
Why China wants Taiwan? | Taiwan Crisis Explained | Dhruv Rathee,2022-08-13,2425337,137704,4570,Aug
Stop Wasting your Time! | The Scientific Way | Dhruv Rathee,2022-08-06,16093850,680743,19941,Aug
Who Controls Antarctica? | Mystery of the 7th Continent | Dhruv Rathee,2022-07-30,15743320,414167,8220,Jul
Chernobyl Nuclear Disaster | Why it happened? | Dhruv Rathee,2022-07-28,14673636,476822,9025,Jul
How Draupadi Murmu Won? | India’s First Tribal President | Dhruv Rathee,2022-07-21,3853533,194930,6365,Jul
Can we find Life on Alien Planet? | James Webb Telescope Discoveries | Dhruv Rathee,2022-07-19,14125314,474084,11505,Jul
Mystery of Kohinoor | Curse of World's Most Famous Diamond | Dhruv Rathee,2022-07-16,12925965,381576,13405,Jul
Why Shinzo Abe was Ass*sinated? | Why China celebrated? | Dhruv Rathee,2022-07-12,4376117,171213,4577,Jul
Mystery of North Sentinel Island | The Last Stone Age Tribe in World | Dhruv Rathee,2022-07-09,20121410,562988,18013,Jul
The Men who Built India | Untold Story of Tata | Dhruv Rathee,2022-07-04,15638571,557158,14463,Jul
The End of Shiv Sena? | Maharashtra Political Crisis Explained | Dhruv Rathee,2022-07-03,4415234,212661,13385,Jul
Business Model of Bollywood | How Film Industry Earns Money? | Dhruv Rathee,2022-06-27,8393119,282147,8377,Jun
India has a Big Stray Dogs Problem | Dhruv Rathee,2022-06-25,5494156,253124,15335,Jun
Nupur Sharma Controversy | Who was Right? | Freedom of Speech | Dhruv Rathee,2022-06-21,7630992,376730,41243,Jun
Agneepath Scheme Explained | Good or Bad? | Agniveers | Dhruv Rathee ft. @mohak_mangal​,2022-06-19,7380645,402526,26362,Jun
Monkey Man Mystery of Delhi l Kala Bandar of 2001 | Dhruv Rathee,2022-06-17,13491159,439914,16671,Jun
Johnny Depp vs Amber Heard Case | The Full Story | Dhruv Rathee,2022-06-12,7302745,301908,9298,Jun
India’s Richest Minority | How Zoroastrians became Rich? | Dhruv Rathee,2022-06-06,5483360,184933,9683,Jun
Is Taj Mahal a Temple? | The Mystery Explained by Dhruv Rathee,2022-06-01,23489212,802598,46203,Jun
Mystery of Supersonic Airplane | Concorde Plane Crash | Dhruv Rathee,2022-05-27,9290369,294964,4800,May
Mystery of Titanic | How the World's Greatest Ship Disappeared? | Dhruv Rathee in Hindi,2022-05-24,30467409,782075,12796,May
Business Model of IPL | How IPL Teams Make Money? | Dhruv Rathee,2022-05-19,8739232,344400,7335,May
Sri Lankan Prime Minister Resigns! | Dynasty Rule Still Continues | Dhruv Rathee,2022-05-14,3020581,138445,5399,May
How Social Media Destroys Your Life? | Science behind Addiction | Dhruv Rathee,2022-05-12,8178099,443804,14063,May
Cuba Missile Crisis | How USA and Soviet Union almost started WW3 | Dhruv Rathee,2022-05-09,8252319,293837,8028,May
Russia Turns Back! Latest Update from Ukraine | Dhruv Rathee,2022-05-06,3090805,135469,4066,May
World's Harshest Lockdown in China | Zero COVID Policy | Dhruv Rathee,2022-05-02,3278013,135816,4421,May
The Problem with Bulldozer Justice in India | Dhruv Rathee,2022-04-27,2295203,151549,13860,Apr
The Real Reason behind Communal Riots | Dhruv Rathee,2022-04-20,4128190,271214,25935,Apr
The Dark Secret of Bill Gates | Becoming the World's Richest Man | Dhruv Rathee,2022-04-15,7030489,274522,12300,Apr
Why Imran Khan Lost? | Political Crisis in Pakistan | Dhruv Rathee,2022-04-11,6890717,246300,25041,Apr
India's Worst Plane Crash | Only Mid-Air Collision in History | Dhruv Rathee,2022-04-08,16928179,433562,6290,Apr
Emergency in Sri Lanka! | Economic Crisis Explained | Dhruv Rathee,2022-04-05,6162419,261504,9576,Apr
Russia Ukraine Latest Update | Fall of Mariupol | Peace Negotiations | Dhruv Rathee,2022-03-30,2821215,140909,5394,Mar
Worst Air Disaster in China | Boeing 737 Plane Crash | Dhruv Rathee,2022-03-24,8302858,266496,5790,Mar
French Revolution | Why it happened? | The Dark Reality | Dhruv Rathee,2022-03-22,9577004,306484,15090,Mar
The End of Congress Party | Why Gandhi Family keeps losing? | Dhruv Rathee,2022-03-18,7189636,277125,25124,Mar
